weblink,websites,machine,links,systems,settings,opt-out,anonymous,targeted,request,consent,breach,computer,profile,browsers,electronic,check,trackers,laws,visited,yahoo,third-party,individuals,tools,products,platform,web,safari,visiting,profiles,traffic,phorm's,unique,internet,intercept,investigatory,user,broadband,logged,default,doubleclick,requests,sending,regulations,collect,campaigns,monitoring,isps,browsing,collection,cookies,ad,computers,trial,firefox,digital,sell,user's,company's,software,advertisers,code,advertising,intrusive,database,phorm,trials,technologies,identifiable,sites,talktalk,opt,collected,cookie,allows,update,webwise,store,browser,revenues,delete,adverts,link,tracking,illegal,clicked,tool,obtained,targeting,owned,types,rely,specific,identify,behaviour,log,secret,id,download,protection,abuse,networks,amazon,users,ip,analytics,chrome,adware,mobile,behavioural,users',visits,isp,search,content,location,potentially,records,privacy,devices,click,blog,technical,ads,interception,files,snooping,google's,preferences,tracks,apple's,personally,block,opt-in,google,pages,activity,regulation,provider,tracked,remove,visitors,install,comply,classLabel
us-news/live/2017/jan/29/donald-trump-us-travel-ban-refugees-airports,1,0,0,0,1,0,0,0,0,1,0,4,3,0,0,4,0,4,0,0,0,6,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,1,0,0,2,0,5,0,0,0,2,0,1,1,2,0,1,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,1,2,0,1,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,45,0,5,0,0,0,0,0,1,3,1,4,1
technology/2017/jan/13/whatsapp-backdoor-allows-snooping-on-encrypted-messages,0,0,0,3,2,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,1,0,4,2,4,0,0,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,2,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1
technology/2017/jan/07/mac-windows-pc-macbook-pro-microsoft-surface-book,0,5,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,5,0,0,1,0,1,0,0,0,0,0,4,1,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,4,0,1,0,1
technology/askjack/2016/dec/22/which-programs-should-i-install-when-setting-up-windows-10,0,2,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,9,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,5,0,0,0,0,3,0,0,8,1,0,0,0,0,0,4,0,0,0,0,1,0,0,1,0,0,0,6,0,0,1,0,0,0,2,0,4,1,0,0,0,0,0,0,5,0,1
technology/askjack/2016/dec/15/whats-the-best-way-to-set-up-a-windows-10-machine,0,2,2,1,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,2,0,0,1,0,2,0,0,0,0,3,0,3,0,0,2,2,2,0,0,0,0,3,0,0,0,1,0,0,0,0,5,1,0,0,0,0,1,0,1,0,1
technology/2016/nov/29/facebook-fake-news-problem-experts-pitch-ideas-algorithms,0,2,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,2,0,2,0,0,0,0,8,0,1,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,2,0,6,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,7,3,0,0,0,0,1,0,1,0,1
us-news/live/2016/nov/17/donald-trump-transition-cabinet-news-politics-live,0,0,0,4,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,2,0,0,0,1,2,0,0,1,0,0,0,0,1,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,2,1,0,0,1,2,0,0,1
technology/2016/nov/10/nsa-trump-protect-yourself,1,0,0,2,2,0,0,2,2,0,1,2,0,0,0,1,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,1,3,1,0,3,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,4,0,0,0,0,0,0,0,1,0,1
us-news/live/2016/nov/10/donald-trump-barack-obama-white-house-us-election-live-updates,0,2,1,1,0,0,0,1,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1
us-news/live/2016/nov/08/us-election-2016-polls-trump-clinton-live,0,3,2,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,3,1,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,1,2,1,0,0,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,20,0,0,0,0,0,0,0,0,0,0,13,0,0,2,0,0,0,0,1,1,0,0,1
media-network/2016/nov/07/can-advertising-support-free-internet,4,2,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,5,0,0,0,0,0,0,9,0,0,2,0,0,0,0,0,0,0,0,10,0,0,0,0,1,8,1,0,0,3,1,0,0,2,1,0,20,1,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,1,1,2,1,0,0,0,2,0,4,0,10,0,1,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1
technology/2016/oct/30/internet-security-password-not-accepted-are-biometric-checks-the-answer,2,1,0,0,0,0,2,0,0,0,0,5,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,7,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,3,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,1
technology/2016/oct/26/black-mirror-episode-playtest-predicted-future-video-games-augmented-reality,1,8,0,4,0,0,0,0,0,0,0,2,8,0,0,0,0,1,0,0,0,0,2,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3,0,0,0,3,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,7,0,1,2,5,0,0,0,2,0,0,2,2,1,0,0,0,0,1,3,0,0,0,0,12,0,0,0,1,1,1,1,0,1,0,0,0,0,5,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1
us-news/live/2016/oct/19/donald-trump-hillary-clinton-third-presidential-debate-live,0,2,0,0,0,0,0,2,1,2,0,0,1,0,1,22,0,8,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,2,0,0,0,0,3,0,4,0,1,0,0,4,0,0,1,0,0,0,0,1,0,0,5,2,0,3,0,0,4,0,2,0,0,0,0,5,0,0,0,5,0,0,3,3,0,0,0,3,0,0,0,0,0,0,6,0,9,0,0,1,0,0,1,0,0,0,1
technology/2016/dec/04/google-democracy-truth-internet-search-facebook,5,4,6,2,0,0,0,1,0,0,0,2,0,0,0,0,1,4,0,3,0,2,2,0,0,5,0,0,1,2,0,0,12,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,1,0,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,1,3,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,28,3,0,0,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,62,1,0,1,0,0,0,0,0,0,1
